"","show_loc","real_loc","lat","long"
"1","Highlands Cabin",NA,NA,NA
"2","Institute",NA,NA,NA
"3","The Tundra",NA,NA,NA
"4","Police Station",NA,NA,NA
"5","Hill Top Road",NA,NA,NA
"6","Oxford",NA,NA,NA
"7","Hospital",NA,NA,NA
"8","Pinhole Books",NA,NA,NA
"9","Jane's House",NA,NA,NA
"10","London Stock Exchange",NA,NA,NA
"11","Millbank Prison Tunnels",NA,NA,NA
"12","Military Hospital",NA,NA,NA
"13","Atlantic Ocean",NA,NA,NA
"14","Old Fishmarket Close",NA,NA,NA
"15","House of Wax",NA,NA,NA
"16","Wakefield Prison",NA,NA,NA
"17","Wolfman Trail",NA,NA,NA
"18","Helen's Taxi",NA,NA,NA
"19","Butcher's Shop",NA,NA,NA
"20","Chiswick Library",NA,NA,NA
